split,model,features,n_train,n_test,base_rate,roc_auc,pr_auc,brier,mean_predicted,precision@5%,lift@5%,precision@10%,lift@10%,precision@20%,lift@20%
temporal,prior,no duration,36010,9201,0.3110531463971307,0.5,0.3110531463971307,0.2736669436740093,0.06739794501527352,0.3347826086956522,1.0762874851882236,0.32608695652173914,1.0483319660924255,0.3130434782608696,1.0063986874487287
temporal,logistic_regression,no duration,36010,9201,0.3110531463971307,0.6829484685940825,0.48491707690603403,0.22691892858098553,0.1664493664068417,0.5369565217391304,1.7262533041655275,0.5260869565217391,1.6913089052957797,0.566304347826087,1.8206031811138457
temporal,gradient_boosting,no duration,36010,9201,0.3110531463971307,0.678550632563229,0.4725055743942296,0.22743490082215287,0.14823353763438424,0.5804347826086956,1.8660308996445174,0.5271739130434783,1.6948033451827547,0.5076086956521739,1.6319034272172093
temporal,prior,with duration,36010,9201,0.3110531463971307,0.5,0.3110531463971307,0.2736669436740093,0.06739794501527352,0.3347826086956522,1.0762874851882236,0.32608695652173914,1.0483319660924255,0.3130434782608696,1.0063986874487287
temporal,logistic_regression,with duration,36010,9201,0.3110531463971307,0.7653090156892614,0.5574946867030517,0.21453260284857067,0.17096617788151233,0.6826086956521739,2.194508249020144,0.6021739130434782,1.9359196973840125,0.6038043478260869,1.9411613572144746
temporal,gradient_boosting,with duration,36010,9201,0.3110531463971307,0.7729283707207135,0.5452489461959233,0.2236937654490705,0.1515056709645027,0.5717391304347826,1.8380753805487196,0.5717391304347826,1.8380753805487196,0.5869565217391305,1.8869975389663662
random,prior,no duration,36168,9043,0.11699657193409267,0.5,0.11699657193409267,0.10330837430613315,0.11698186241981863,0.14380530973451328,1.2291412248858256,0.12831858407079647,1.0967721698981214,0.11221669430624655,0.9591451480258861
random,logistic_regression,no duration,36168,9043,0.11699657193409267,0.771645677800886,0.4110977540059169,0.08514042786287612,0.11693141692484262,0.5929203539823009,5.067843819529251,0.4922566371681416,4.2074449621091725,0.3255942509673853,2.782938385158852
random,gradient_boosting,no duration,36168,9043,0.11699657193409267,0.8026391047486249,0.4647943190051252,0.08035306099267087,0.11668679393981543,0.6305309734513275,5.38931152449939,0.5221238938053098,4.46272813958546,0.3692647871752349,3.1562017678881373
random,prior,with duration,36168,9043,0.11699657193409267,0.5,0.11699657193409267,0.10330837430613315,0.11698186241981863,0.14380530973451328,1.2291412248858256,0.12831858407079647,1.0967721698981214,0.11221669430624655,0.9591451480258861
random,logistic_regression,with duration,36168,9043,0.11699657193409267,0.9056160357380862,0.5451024998774541,0.07141068744989891,0.1163171652351139,0.661504424778761,5.654049634474798,0.6017699115044248,5.143483279522225,0.4483139856274185,3.831855739157604
random,gradient_boosting,with duration,36168,9043,0.11699657193409267,0.9342595343584911,0.6323003278311615,0.06154543443091723,0.11506990713087557,0.7168141592920354,6.1267962594308845,0.6338495575221239,5.417676321996755,0.4881149806522941,4.172045151265308
